LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5
Trichoderma virens,Trichoderma virens Gv29-8,tvirens,ASM17099v1,"GO:MF, GO:CC, GO:BP"
Schizosaccharomyces octosporus,Schizosaccharomyces octosporus yFS286,soctosporus,SO6,"GO:MF, GO:CC, GO:BP"
Colletotrichum graminicola,Colletotrichum graminicola M1.001,cgraminicola,C_graminicola_M1_001_V1,"GO:MF, GO:CC, GO:BP"
Fusarium verticillioides,Fusarium verticillioides 7600,fverticillioides,ASM14955v1,"GO:MF, GO:CC, GO:BP, KEGG"
Aspergillus clavatus NRRL 1,Aspergillus clavatus NRRL 1,aclavatus,ASM271v1,"GO:MF, GO:CC, GO:BP, KEGG"
Ustilago maydis,Ustilago maydis 521,umaydis,Umaydis521_2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Zymoseptoria tritici,Zymoseptoria tritici IPO323,ztritici,MG2,"GO:MF, GO:CC, GO:BP, KEGG"
Aspergillus flavus NRRL3357,Aspergillus flavus NRRL3357,aflavus,JCVI-afl1-v2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Leptosphaeria maculans,Leptosphaeria maculans JN3,lmaculans,ASM23037v1,"GO:MF, GO:CC, GO:BP"
Trichoderma reesei,Trichoderma reesei QM6a,treesei,v2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Schizosaccharomyces cryophilus,Schizosaccharomyces cryophilus OY26,scryophilus,SCY4,"GO:MF, GO:CC, GO:BP"
Gaeumannomyces tritici R3-111a-1,Gaeumannomyces tritici R3-111a-1,ggraminis,Gae_graminis_V2,"GO:MF, GO:CC, GO:BP"
Aspergillus fumigatus Af293,Aspergillus fumigatus Af293,afumigatus,ASM265v1,"GO:MF, GO:CC, GO:BP, KEGG"
Pyrenophora tritici-repentis Pt-1C-BFP,Pyrenophora tritici-repentis Pt-1C-BFP,ptriticirepentis,ASM14998v1,"GO:MF, GO:CC, GO:BP"
Melampsora larici-populina,Melampsora larici-populina 98AG31,mlaricipopulina,v1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Fusarium oxysporum,Fusarium oxysporum f. sp. lycopersici 4287,foxysporum,FO2,"GO:MF, GO:CC, GO:BP, KEGG"
Botrytis cinerea B05.10,Botrytis cinerea B05.10,bcinerea,ASM83294v1,"GO:MF, GO:CC, GO:BP, KEGG"
Magnaporthe poae,Magnaporthiopsis poae ATCC 64411,mpoae,Mag_poae_ATCC_64411_V1,"GO:MF, GO:CC, GO:BP"
Fusarium pseudograminearum,Fusarium pseudograminearum CS3096,fpseudograminearum,FP7,"GO:MF, GO:CC, GO:BP, KEGG"
Fusarium graminearum str. PH-1,Fusarium graminearum,fgraminearum,RR 1,"GO:MF, GO:CC, GO:BP"
Ashbya gossypii,Eremothecium gossypii ATCC 10895,agossypii,ASM9102v1,"GO:MF, GO:CC, GO:BP, KEGG"
Sclerotinia sclerotiorum,Sclerotinia sclerotiorum 1980 UF-70,ssclerotiorum,ASM14694v1,"GO:MF, GO:CC, GO:BP, KEGG"
Verticillium dahliae JR2,Verticillium dahliae JR2,vdahliaejr2,VDAG_JR2v.4.0,"GO:MF, GO:CC, GO:BP"
Colletotrichum gloeosporioides,Colletotrichum fructicola Nara gc5,cgloeosporioides,Colletotrichum gloeosporioides Nara gc-5,"GO:MF, GO:CC, GO:BP"
Puccinia triticina,Puccinia triticina 1-1 BBBD Race 1,ptriticina,ASM15152v1,"GO:MF, GO:CC, GO:BP"
Fusarium culmorum UK99,Fusarium culmorum CS7071,fculmorum,EF 1,"GO:MF, GO:CC, GO:BP"
Magnaporthe oryzae,Pyricularia oryzae 70-15,moryzae,MG8,"GO:MF, GO:CC, GO:BP, KEGG"
Caenorhabditis briggsae,Caenorhabditis briggsae,cbriggsae,CB4,"GO:MF, GO:CC, GO:BP, KEGG"
Glossina brevipalpis,Glossina brevipalpis,gbrevipalpis,GbreI1,"GO:MF, GO:CC, GO:BP"
Aedes albopictus,Aedes albopictus,aalbopictus,AaloF1,"GO:MF, GO:CC, GO:BP, KEGG"
Adineta vaga,Adineta vaga,avaga,AMS_PRJEB1171_v1,"GO:MF, GO:CC, GO:BP"
Pristionchus pacificus,Pristionchus pacificus,ppacificus,El_Paco,"GO:MF, GO:CC, GO:BP"
Schistosoma mansoni,Schistosoma mansoni,smansoni,ASM23792v2,"GO:MF, GO:CC, GO:BP, KEGG"
Drosophila virilis (TSC#15010-1051.87),Drosophila virilis,dvirilis,dvir_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles darlingi,Anopheles darlingi,adarlingi,AdarC3,"GO:MF, GO:CC, GO:BP"
Bemisia tabaci (ASIAII-5),Bemisia tabaci,btasiaii5,ASIAII5_n227_616Mb,"GO:MF, GO:CC, GO:BP"
Strongyloides ratti,Strongyloides ratti,sratti,S_ratti_ED321_v5_0_4,"GO:MF, GO:CC, GO:BP"
Anopheles sinensis (China),Anopheles sinensis,aschina,AsinC2,"GO:MF, GO:CC, GO:BP"
Drosophila grimshawi (TSC#15287-2541.00),Drosophila grimshawi,dgrimshawi,dgri_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Glossina palpalis,Glossina palpalis gambiensis,gpalpalis,GpapI1,"GO:MF, GO:CC, GO:BP"
Atta cephalotes,Atta cephalotes,acephalotes,Attacep1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Solenopsis invicta,Solenopsis invicta,sinvicta,Si_gnH,"GO:MF, GO:CC, GO:BP, KEGG"
Strongylocentrotus purpuratus (Spur 01),Strongylocentrotus purpuratus,spurpuratus,Spur_5.0,"GO:MF, GO:CC, GO:BP, KEGG"
Drosophila ananassae (TSC#14024-0371.13),Drosophila ananassae,dananassae,dana_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Bemisia tabaci (SSA3 NG),Bemisia tabaci,btssa3nig,SSA3_Nigeria_2278n_648mb,"GO:MF, GO:CC, GO:BP"
Lepeophtheirus salmonis,Lepeophtheirus salmonis,lsalmonis,LSalAtl2s,"GO:MF, GO:CC, GO:BP"
Biomphalaria glabrata,Biomphalaria glabrata,bglabrata,BglaB1,"GO:MF, GO:CC, GO:BP"
Apis mellifera (DH4),Apis mellifera,amellifera,Amel_HAv3.1,"GO:MF, GO:CC, GO:BP, KEGG"
Mnemiopsis leidyi,Mnemiopsis leidyi,mleidyi,MneLei_Aug2011,"GO:MF, GO:CC, GO:BP"
Caenorhabditis remanei,Caenorhabditis remanei,cremanei,C_remanei-15.0.1,"GO:MF, GO:CC, GO:BP"
Branchiostoma lanceolatum,Branchiostoma lanceolatum,blanceolatum,BraLan2,"GO:MF, GO:CC, GO:BP"
Drosophila erecta (TSC#14021-0224.01),Drosophila erecta,derecta,dere_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Megaselia scalaris,Megaselia scalaris,mscalaris,Msca1,"GO:MF, GO:CC, GO:BP"
Drosophila willistoni (TSC#14030-0811.24),Drosophila willistoni,dwillistoni,dwil_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles minimus,Anopheles minimus,aminimus,AminM1,"GO:MF, GO:CC, GO:BP"
Loa loa,Loa loa,lloa,Loa_loa_V3,"GO:MF, GO:CC, GO:BP, KEGG"
Strigamia maritima,Strigamia maritima,smaritima,Smar1,"GO:MF, GO:CC, GO:BP"
Dendroctonus ponderosae,Dendroctonus ponderosae,dponderosae,DendPond_male_1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles melas,Anopheles melas,amelas,AmelC2,"GO:MF, GO:CC, GO:BP"
Trichinella spiralis,Trichinella spiralis,tspiralis,Tspiralis1,"GO:MF, GO:CC, GO:BP, KEGG"
Bombyx mori,Bombyx mori,bmori,ASM15162v1,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA"
Tetranychus urticae,Tetranychus urticae,turticae,ASM23943v1,"GO:MF, GO:CC, GO:BP, KEGG"
Glossina fuscipes fuscipes,Glossina fuscipes fuscipes,gfuscipes,GfusI1,"GO:MF, GO:CC, GO:BP"
Rhodnius prolixus,Rhodnius prolixus,rprolixus,RproC3,"GO:MF, GO:CC, GO:BP"
Drosophila simulans (w501),Drosophila simulans,dsimulans,ASM75419v3,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles epiroticus,Anopheles epiroticus,aepiroticus,AepiE1,"GO:MF, GO:CC, GO:BP"
Anopheles culicifacies,Anopheles culicifacies,aculicifacies,AculA1,"GO:MF, GO:CC, GO:BP"
Bemisia tabaci (SSA1-SG1 UG),Bemisia tabaci,btssa1ug,SSA1_SG1_Uganda_n955_657Mb,"GO:MF, GO:CC, GO:BP"
Stegodyphus mimosarum,Stegodyphus mimosarum,smimosarum,Stegodyphus_mimosarum_v1,"GO:MF, GO:CC, GO:BP"
Melitaea cinxia,Melitaea cinxia,mcinxia,MelCinx1.0,"GO:MF, GO:CC, GO:BP"
Caenorhabditis brenneri,Caenorhabditis brenneri,cbrenneri,C_brenneri-6.0.1b,"GO:MF, GO:CC, GO:BP"
Aedes aegypti (LVP_AGWG),Aedes aegypti,aalvpagwg,AaegL5,"GO:MF, GO:CC, GO:BP, KEGG"
Ixodes scapularis (ISE6),Ixodes scapularis,isise6,IscaI1,"GO:MF, GO:CC, GO:BP, KEGG"
Amphimedon queenslandica,Amphimedon queenslandica,aqueenslandica,Aqu1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles stephensi,Anopheles stephensi,astephensi,AsteS1,"GO:MF, GO:CC, GO:BP"
Onchocerca volvulus,Onchocerca volvulus,ovolvulus,ASM49940v2,"GO:MF, GO:CC, GO:BP"
Anopheles quadriannulatus,Anopheles quadriannulatus,aquadriannulatus,AquaS1,"GO:MF, GO:CC, GO:BP"
Brugia malayi,Brugia malayi,bmalayi,Bmal-4.0,"GO:MF, GO:CC, GO:BP, KEGG"
Capitella teleta,Capitella teleta,cteleta,Capitella teleta v1.0,"GO:MF, GO:CC, GO:BP"
Belgica antarctica,Belgica antarctica,bantarctica,ASM77530v1,"GO:MF, GO:CC, GO:BP"
Anopheles stephensi (Indian),Anopheles stephensi,asindian,AsteI2,"GO:MF, GO:CC, GO:BP"
Danaus plexippus,Danaus plexippus,dplexippus,Dpv3,"GO:MF, GO:CC, GO:BP"
Anopheles funestus,Anopheles funestus,afunestus,AfunF3,"GO:MF, GO:CC, GO:BP"
Drosophila mojavensis (TSC#15081-1352.22),Drosophila mojavensis,dmojavensis,dmoj_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles atroparvus,Anopheles atroparvus,aatroparvus,AatrE3,"GO:MF, GO:CC, GO:BP"
Tribolium castaneum,Tribolium castaneum,tcastaneum,Tcas5.2,"GO:MF, GO:CC, GO:BP, KEGG"
Anoplophora glabripennis,Anoplophora glabripennis,aglabripennis,Agla_1.0,"GO:MF, GO:CC, GO:BP"
Anopheles albimanus,Anopheles albimanus,aalbimanus,AalbS2,"GO:MF, GO:CC, GO:BP"
Culex quinquefasciatus,Culex quinquefasciatus,cquinquefasciatus,CpipJ2,"GO:MF, GO:CC, GO:BP, KEGG"
Drosophila persimilis (MSH-3),Drosophila persimilis,dpersimilis,dper_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Crassostrea gigas,Crassostrea gigas,cgigas,oyster_v9,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles gambiae,Anopheles gambiae,agambiae,AgamP4,"GO:MF, GO:CC, GO:BP, KEGG, WP"
Bemisia tabaci (SSA2 NG),Bemisia tabaci,btssa2nig,SSA2_Nigeria_n785_625mb,"GO:MF, GO:CC, GO:BP"
Leptotrombidium deliense,Leptotrombidium deliense,ldeliense,LdelU1,"GO:MF, GO:CC, GO:BP"
Daphnia magna,Daphnia magna,dmagna,daphmag2.4,"GO:MF, GO:CC, GO:BP"
Nematostella vectensis,Nematostella vectensis,nvectensis,ASM20922v1,"GO:MF, GO:CC, GO:BP, KEGG"
Drosophila sechellia (Rob3c),Drosophila sechellia,dsechellia,dsec_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Stomoxys calcitrans,Stomoxys calcitrans,scalcitrans,ScalU1,"GO:MF, GO:CC, GO:BP"
Anopheles maculatus,Anopheles maculatus,amaculatus,AmacM1,"GO:MF, GO:CC, GO:BP"
Bombus terrestris,Bombus terrestris,bterrestris,Bter_1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Octopus bimaculoides,Octopus bimaculoides,obimaculoides,PRJNA270931,"GO:MF, GO:CC, GO:BP, KEGG"
Teleopsis dalmanni,Teleopsis dalmanni,tdalmanni,Tel_dalmanni_2A_v1.0,"GO:MF, GO:CC, GO:BP"
Daphnia pulex,Daphnia pulex,dpulex,V1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Thelohanellus kitauei,Thelohanellus kitauei,tkitauei,ASM82789v1,"GO:MF, GO:CC, GO:BP"
Drosophila yakuba (Tai18E2),Drosophila yakuba,dyakuba,dyak_caf1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles coluzzii (Ngousso),Anopheles coluzzii,acngousso,AcolN1,"GO:MF, GO:CC, GO:BP"
Helobdella robusta,Helobdella robusta,hrobusta,Helro1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles dirus,Anopheles dirus,adirus,AdirW1,"GO:MF, GO:CC, GO:BP"
Anopheles arabiensis,Anopheles arabiensis,aarabiensis,AaraD1,"GO:MF, GO:CC, GO:BP"
Glossina pallidipes,Glossina pallidipes,gpallidipes,GpalI1,"GO:MF, GO:CC, GO:BP"
Ixodes scapularis,Ixodes scapularis,iscapularis,IscaW1,"GO:MF, GO:CC, GO:BP"
Orchesella cincta,Orchesella cincta,ocincta,ASM171814v1,"GO:MF, GO:CC, GO:BP"
Nasonia vitripennis (AsymCx),Nasonia vitripennis,nvitripennis,Nvit_psr_1.1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles merus,Anopheles merus,amerus,AmerM2,"GO:MF, GO:CC, GO:BP"
Dinothrombium tinctorium,Dinothrombium tinctorium,dtinctorium,DtinU1,"GO:MF, GO:CC, GO:BP"
Lottia gigantea,Lottia gigantea,lgigantea,Lotgi1,"GO:MF, GO:CC, GO:BP, KEGG"
Cimex lectularius,Cimex lectularius,clectularius,ClecH1,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles coluzzii,Anopheles coluzzii,acoluzzii,AcolM1,"GO:MF, GO:CC, GO:BP"
Anopheles sinensis,Anopheles sinensis,asinensis,AsinS2,"GO:MF, GO:CC, GO:BP"
Phlebotomus papatasi,Phlebotomus papatasi,ppapatasi,PpapI1,"GO:MF, GO:CC, GO:BP"
Pediculus humanus,Pediculus humanus corporis,phumanus,PhumU2,"GO:MF, GO:CC, GO:BP, KEGG"
Glossina morsitans,Glossina morsitans morsitans,gmorsitans,GmorY1,"GO:MF, GO:CC, GO:BP"
Hofstenia miamia,Hofstenia miamia,hmiamia,HmiaM1,"GO:MF, GO:CC, GO:BP"
Lucilia cuprina,Lucilia cuprina,lcuprina,ASM118794v1,"GO:MF, GO:CC, GO:BP, KEGG"
Heliconius melpomene,Heliconius melpomene,hmelpomene,Hmel1,"GO:MF, GO:CC, GO:BP"
Bemisia tabaci (SSA1-SG1 NG),Bemisia tabaci,btssa1nig,SSA1SG1_Nigeria_n4493_656Mb,"GO:MF, GO:CC, GO:BP"
Lutzomyia longipalpis,Lutzomyia longipalpis,llongipalpis,LlonJ1,"GO:MF, GO:CC, GO:BP"
Bemisia tabaci (Uganda 1),Bemisia tabaci,btsweetpotug,Uganda1_n5713_630Mb,"GO:MF, GO:CC, GO:BP"
Glossina austeni,Glossina austeni,gausteni,GausT1,"GO:MF, GO:CC, GO:BP"
Culicoides sonorensis,Culicoides sonorensis,csonorensis,Cson1,"GO:MF, GO:CC, GO:BP"
Zootermopsis nevadensis,Zootermopsis nevadensis,znevadensis,ZooNev1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Folsomia candida str. VU population,Folsomia candida,fcandida,ASM221717v1,"GO:MF, GO:CC, GO:BP, KEGG"
Bombus impatiens,Bombus impatiens,bimpatiens,BIMP_2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Sarcoptes scabiei,Sarcoptes scabiei,sscabiei,SscaA1,"GO:MF, GO:CC, GO:BP"
Mayetiola destructor,Mayetiola destructor,mdestructor,Mdes_1.0,"GO:MF, GO:CC, GO:BP"
Anopheles farauti,Anopheles farauti,afarauti,AfarF2,"GO:MF, GO:CC, GO:BP"
Lingula anatina,Lingula anatina,lanatina,LinAna1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Drosophila pseudoobscura pseudoobscura (MV2-25),Drosophila pseudoobscura pseudoobscura,dpseudoobscura,Dpse_3.0,"GO:MF, GO:CC, GO:BP, KEGG"
Trichoplax adhaerens,Trichoplax adhaerens,tadhaerens,ASM15027v1,"GO:MF, GO:CC, GO:BP, KEGG"
Acyrthosiphon pisum,Acyrthosiphon pisum,apisum,Acyr_2.0,"GO:MF, GO:CC, GO:BP, KEGG"
Anopheles christyi,Anopheles christyi,achristyi,AchrA1,"GO:MF, GO:CC, GO:BP"
Mesorhabditis belari (PRJEB30104),Mesorhabditis belari,mebelaprjeb30104,M.Belari Hybrid genome (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Heligmosomoides polygyrus (PRJEB1203),Heligmosomoides polygyrus,hepolyprjeb1203,H_bakeri_Edinburgh_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Caenorhabditis parvicauda (PRJEB12595),Caenorhabditis sp. 21 LS-2015,caparvprjeb12595,CPARV_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne floridensis (PRJEB6016),Meloidogyne floridensis,meflorprjeb6016,nMf_1_1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Hymenolepis nana (PRJEB508),Rodentolepis nana,hynanaprjeb508,H_nana_Japan_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Necator americanus (PRJNA72135),Necator americanus,neamerprjna72135,N__americanus_v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Caenorhabditis inopinata (PRJDB5687),Caenorhabditis inopinata,cainopprjdb5687,Sp34_v7 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Steinernema scapterisci (PRJNA204942),Steinernema scapterisci,stscapprjna204942,S_scapt_v1_submitted (2014-12-WormBase),"GO:MF, GO:CC, GO:BP"
Taenia multiceps (PRJNA307624),Taenia multiceps,tamultprjna307624,ASM192302v3 (2018-09-WormBase),"GO:MF, GO:CC, GO:BP"
Diploscapter coronatus (PRJDB3143),Diploscapter coronatus,dicoroprjdb3143,ASM220778v1 (2018-02-WormBase),"GO:MF, GO:CC, GO:BP"
Plectus sambesii (PRJNA390260),Plectus sambesii,plsambprjna390260,Psam_v1.0 (2018-09-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne incognita (PRJEB8714),Meloidogyne incognita,meincoprjeb8714,Meloidogyne_incognita_V3 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella nativa (PRJNA257433),Trichinella nativa,trnatiprjna257433,T2_ISS10_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma haematobium (PRJNA78265),Schistosoma haematobium,schaemprjna78265,SchHae_2.0 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Schistosoma margrebowiei (PRJEB522),Schistosoma margrebowiei,scmargprjeb522,S_margrebowiei_Zambia_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Caenorhabditis elegans (PRJNA13758) [WS276],Caenorhabditis elegans,caelegprjna13758,WBcel235 (WS276),"GO:MF, GO:CC, GO:BP, KEGG"
Ascaris suum (PRJNA80881),Ascaris suum,assuumprjna80881,AscSuum_1.0_submitted (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Panagrolaimus es5 (PRJEB32708),Panagrolaimus sp. ES5,paes5prjeb32708,ES5_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Brugia malayi (PRJNA10729) [WS276],Brugia malayi,brmalaprjna10729,Bmal-4.0 (WS276),"GO:MF, GO:CC, GO:BP, KEGG"
Trichuris muris (PRJEB126) [WS276],Trichuris muris,trmuriprjeb126,TMUE3.0 (WS271),"GO:MF, GO:CC, GO:BP"
Schmidtea mediterranea (PRJNA12585),Schmidtea mediterranea,scmediprjna12585,SmedGD_c1.3 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis latens (PRJNA248912),Caenorhabditis latens,calateprjna248912,CaeLat1.0 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Fasciola gigantica (PRJNA230515),Fasciola gigantica,fagigaprjna230515,F_gigantica_1.0.allpaths (2020-02-WormBase),"GO:MF, GO:CC, GO:BP"
Syphacia muris (PRJEB524),Syphacia muris,symuriprjeb524,S_muris_Valencia_v1_0_4 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis remanei (PRJNA248909),Caenorhabditis remanei,caremaprjna248909,ASM164373v2 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus exspectatus (PRJEB24288),Pristionchus exspectatus,prexspprjeb24288,Pristionchus_exspectatus_de_novo_assembly (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Elaeophora elaphi (PRJEB502),Elaeophora elaphi,elelapprjeb502,E_elaphi_v1_0_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Trichinella sp. T9 (PRJNA257433),Trichinella sp. T9,trt9prjna257433,T9_ISS409_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Parascaris equorum (PRJEB514),Parascaris equorum,paequoprjeb514,P_equorum_v1_0_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Echinococcus multilocularis (PRJEB122),Echinococcus multilocularis,ecmultprjeb122,EMULTI002 (2015-12-WormBase),"GO:MF, GO:CC, GO:BP"
Echinococcus granulosus (PRJEB121),Echinococcus granulosus,ecgranprjeb121,EGRAN001 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Steinernema monticolum (PRJNA205067),Steinernema monticolum,stmontprjna205067,S_monti_v1_submitted (2014-12-WormBase),"GO:MF, GO:CC, GO:BP"
Schistocephalus solidus (PRJEB527),Schistocephalus solidus,scsoliprjeb527,S_solidus_NST_G2_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Caenorhabditis angaria (PRJNA51225),Caenorhabditis angaria,caangaprjna51225,13mar2012 (2012-12-Caltech),"GO:MF, GO:CC, GO:BP"
Hymenolepis diminuta (PRJEB30942),Hymenolepis diminuta,hydimiprjeb30942,H.diminuta_WMSil1 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Brugia timori (PRJEB4663),Brugia timori,brtimoprjeb4663,B_timori_Indonesia_v1_0_4_001_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Onchocerca flexuosa (PRJEB512),Onchocerca flexuosa,onflexprjeb512,O_flexuosa_Cordoba_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Strongyloides venezuelensis (PRJEB530),Strongyloides venezuelensis,stveneprjeb530,S_venezuelensis_HH1 (2015-05-WormBase),"GO:MF, GO:CC, GO:BP"
Parapristionchus giblindavisi (PRJEB27334),Parapristionchus giblindavisi,pagiblprjeb27334,Parapristionchus_genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella spiralis (PRJNA257433),Trichinella spiralis,trspirprjna257433,T1_ISS3_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Dracunculus medinensis (PRJEB500),Dracunculus medinensis,drmediprjeb500,D_medinensis_Ghana_v2_0_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Meloidogyne arenaria (PRJEB8714),Meloidogyne arenaria,mearenprjeb8714,ASM90000398v1 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Haemonchus contortus (PRJEB506),Haemonchus contortus,hacontprjeb506,haemonchus_contortus_MHCO3ISE_4.0 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Soboliphyme baturini (PRJEB516),Soboliphyme baturini,sobatuprjeb516,S_baturini_Dall_Island_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Pristionchus pacificus (PRJNA12644) [WS276],Pristionchus pacificus,prpaciprjna12644,El_Paco (WS276),"GO:MF, GO:CC, GO:BP"
Schistosoma rodhaini (PRJEB526),Schistosoma rodhaini,scrodhprjeb526,S_rodhaini_Burundi_v1_0_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Caenorhabditis nigoni (PRJNA384657),Caenorhabditis nigoni,canigoprjna384657,nigoni.pc_2016.07.14 (2018-01-WormBase),"GO:MF, GO:CC, GO:BP"
Heterodera glycines (PRJNA381081),Heterodera glycines,heglycprjna381081,Hetgly_1 (2019-02-WormBase),"GO:MF, GO:CC, GO:BP"
Ditylenchus destructor (PRJNA312427),Ditylenchus destructor,didestprjna312427,ASM157970v1 (2017-01-WormBase),"GO:MF, GO:CC, GO:BP"
Panagrellus redivivus (PRJNA186477),Panagrellus redivivus,parediprjna186477,Pred3 (2013-09-Caltech),"GO:MF, GO:CC, GO:BP"
Caenorhabditis brenneri (PRJNA20035) [WS276],Caenorhabditis brenneri,cabrenprjna20035,C_brenneri-6.0.1b (WS271),"GO:MF, GO:CC, GO:BP"
Taenia saginata (PRJNA71493),Taenia saginata,tasagiprjna71493,ASM169307v2 (2016-10-WormBase),"GO:MF, GO:CC, GO:BP"
Panagrolaimus superbus (PRJEB32708),Panagrolaimus superbus,pasupeprjeb32708,PSU_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Haemonchus placei (PRJEB509),Haemonchus placei,haplacprjeb509,H_placei_MHpl1_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Diploscapter pachys (PRJNA280107),Diploscapter pachys,dipachprjna280107,DipSp1Ass11Ann3 (2018-01-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis panamensis (PRJEB28259),Caenorhabditis panamensis,capanaprjeb28259,CPANA_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Mesocestoides corti (PRJEB510),Mesocestoides corti,mecortprjeb510,M_corti_Specht_Voge_0011_upd (2019-06-WormBase),"GO:MF, GO:CC, GO:BP"
Ditylenchus dipsaci (PRJNA498219),Ditylenchus dipsaci,didipsprjna498219,D.dipsaci.v1.0 (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Brugia pahangi (PRJEB497),Brugia pahangi,brpahaprjeb497,B_pahangi_Glasgow_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Echinococcus canadensis (PRJEB8992),Echinococcus canadensis,eccanaprjeb8992,ECANG7 (2017-05-WormBase),"GO:MF, GO:CC, GO:BP"
Taenia asiatica (PRJNA299871),Taenia asiatica,taasiaprjna299871,Taenia_asiatica_TASYD01_v1 (2016-10-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis tribulationis (PRJEB12608),Caenorhabditis sp. 40 LS-2015,catribprjeb12608,CTRIB_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella britovi (PRJNA257433),Trichinella britovi,trbritprjna257433,T3_ISS120_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichobilharzia regenti (PRJEB4662),Trichobilharzia regenti,trregeprjeb4662,T_regenti_v1_0_4_001_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
